Report Number,Offense ID,Offense Start DateTime,Offense End DateTime,Report DateTime,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,Precinct,Sector,Beat,MCPP,100 Block Address,Longitude,Latitude
2023-153065,50927567143,6/2/2023 19:12,,6/2/2023 23:28,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,W,D,D1,BELLTOWN,23XX BLOCK OF 3RD AVE,-122.3454439,47.61508874
2023-154071,50947880340,6/2/2023 19:00,6/5/2023 16:56,6/3/2023 22:17,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,N,U,U3,SANDPOINT,60XX BLOCK OF 53RD AVE NE,-122.2704087,47.67295178
2023-154071,50935110290,6/2/2023 19:00,6/3/2023 11:30,6/3/2023 22:17,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,N,U,U3,SANDPOINT,60XX BLOCK OF 53RD AVE NE,-122.2704087,47.67295178
2023-153469,50931012993,6/2/2023 19:00,6/3/2023 3:00,6/3/2023 4:49,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,N,B,B1,BALLARD SOUTH,SHILSHOLE AVE NW / NW VERNON PL,-122.3840777,47.66590904
2023-153240,50928783862,6/2/2023 19:00,,6/3/2023 2:31,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,6XX BLOCK OF S MAIN ST,-122.3243995,47.60002891
2023-153051,50926539188,6/2/2023 18:56,,6/2/2023 19:54,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,W,M,M1,BELLTOWN,20XX BLOCK OF 2ND AVE,-122.3424026,47.6121175
2023-153034,50926586740,6/2/2023 18:37,,6/2/2023 20:06,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,W,M,M2,SLU/CASCADE,20XX BLOCK OF 3RD AVE,-122.3415426,47.61278241
2023-153019,50926365629,6/2/2023 18:23,,6/2/2023 19:19,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,E,E,E3,CAPITOL HILL,14XX BLOCK OF SENECA ST,-122.3225291,47.61240581
2023-153011,50926194104,6/2/2023 18:08,6/2/2023 18:15,6/2/2023 18:49,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,N,U,U1,UNIVERSITY,47XX BLOCK OF 21ST AVE NE,-122.305448,47.663995
2023-154745,50939756583,6/2/2023 18:00,6/3/2023 21:00,6/4/2023 14:00,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,N,B,B2,BALLARD SOUTH,9XX BLOCK OF NW 56TH ST,-122.3696799,47.6694363
2023-154745,50965869810,6/2/2023 18:00,6/3/2023 21:00,6/4/2023 14:00,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,N,B,B2,BALLARD SOUTH,9XX BLOCK OF NW 56TH ST,-122.3696799,47.6694363
2023-153695,50932351051,6/2/2023 18:00,6/2/2023 23:30,6/3/2023 11:30,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,E,E,E2,FIRST HILL,13XX BLOCK OF E COLUMBIA ST,-122.3147969,47.60921862
2023-153150,50928061100,6/2/2023 18:00,6/2/2023 20:30,6/2/2023 23:48,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,K,K1,DOWNTOWN COMMERCIAL,7XX BLOCK OF 1ST AVE,-122.3346078,47.60291195
2023-153201,50928444432,6/2/2023 17:30,6/2/2023 18:30,6/3/2023 0:52,A,PROPERTY,FRAUD OFFENSES,Wire Fraud,26E,W,K,K1,DOWNTOWN COMMERCIAL,9XX BLOCK OF 6TH AVE,-122.330364,47.60666
2023-152973,50926124607,6/2/2023 17:30,,6/2/2023 18:36,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,W,M,M3,DOWNTOWN COMMERCIAL,15XX BLOCK OF 3RD AVE,-122.3382473,47.6102463
2023-909413,50952200544,6/2/2023 17:00,6/5/2023 6:00,6/6/2023 9:43,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,B,B2,FREMONT,39XX BLOCK OF LEARY WAY NW,-122.3604472,47.65454198
2023-909412,50952199353,6/2/2023 17:00,6/5/2023 6:00,6/6/2023 9:43,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,B,B2,FREMONT,39XX BLOCK OF LEARY WAY NW,-122.3604472,47.65454198
2023-909411,50952198142,6/2/2023 17:00,6/5/2023 6:00,6/6/2023 9:43,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,B,B2,FREMONT,39XX BLOCK OF LEARY WAY NW,-122.3604472,47.65454198
2023-909301,50937982340,6/2/2023 17:00,6/3/2023 17:00,6/4/2023 6:03,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,N,B,B2,BALLARD SOUTH,9XX BLOCK OF NW 45TH ST,-122.3696925,47.66146817
